,beds,baths,size,zip_code,price
0,3,2.5,2590.0,98144,795000.0
1,4,2.0,2240.0,98106,915000.0
2,4,3.0,2040.0,98107,950000.0
3,4,3.0,3800.0,98199,1950000.0
4,2,2.0,1042.0,98102,950000.0
5,2,2.0,1190.0,98107,740000.0
6,1,1.0,670.0,98133,460000.0
7,5,3.5,4510.0,98105,3150000.0
8,3,2.5,1520.0,98108,565000.0
9,4,2.0,2340.0,98178,699000.0
10,3,2.0,1320.0,98103,899000.0
11,3,2.0,1800.0,98177,1050000.0
12,3,2.5,2490.0,98103,935625.0
13,4,3.0,2650.0,98115,1511000.0
14,5,1.5,2560.0,98199,1330000.0
15,2,1.5,900.0,98133,549755.0
16,3,3.5,1360.0,98103,700000.0
17,1,1.0,550.0,98122,330000.0
18,3,2.5,2974.0,98119,1750000.0
19,4,3.5,1989.0,98117,980000.0
20,2,2.0,1332.0,98199,845000.0
21,4,3.0,2668.0,98116,1213000.0
22,2,1.0,770.0,98133,530000.0
23,3,1.5,1280.0,98146,625000.0
24,5,3.5,3200.0,98133,1275000.0
25,2,1.5,889.0,98103,680000.0
26,1,1.0,508.0,98109,325000.0
27,3,2.0,3140.0,98117,1219700.0
28,4,2.0,2000.0,98125,907200.0
29,1,1.0,792.0,98101,517000.0
30,3,2.5,1690.0,98108,760000.0
31,4,5.5,3000.0,98126,1484000.0
32,3,3.0,1550.0,98115,950000.0
33,2,2.0,871.0,98119,430000.0
34,4,1.5,1940.0,98118,520000.0
35,1,1.0,474.0,98101,335000.0
36,3,2.0,1770.0,98146,805000.0
37,5,5.0,2510.0,98133,1000000.0
38,1,1.0,750.0,98199,375000.0
39,1,1.0,573.0,98102,390000.0
40,3,2.5,1500.0,98103,1070000.0
41,5,4.0,2920.0,98133,948000.0
42,3,2.0,2817.0,98103,912000.0
43,1,1.0,617.0,98109,480000.0
44,2,2.0,1280.0,98112,776000.0
45,2,2.0,1523.0,98121,1395000.0
46,2,1.0,1240.0,98126,750000.0
47,4,2.5,2280.0,98106,1065000.0
48,5,3.5,3590.0,98136,2350000.0
49,4,3.5,2478.0,98115,1580000.0
50,3,3.0,2360.0,98117,1775000.0
51,2,1.0,720.0,98177,600000.0
52,3,2.0,2480.0,98126,800000.0
53,3,2.0,1550.0,98199,1100000.0
54,2,1.0,780.0,98103,750000.0
55,5,3.0,2820.0,98136,865000.0
56,5,3.0,2900.0,98112,1450000.0
57,2,2.0,1092.0,98122,829000.0
58,3,2.0,1731.0,98125,575000.0
59,3,2.5,1500.0,98105,860000.0
60,2,2.5,1344.0,98122,770000.0
61,4,5.5,4040.0,98105,5495000.0
62,5,3.0,2320.0,98168,560000.0
63,5,3.0,2820.0,98136,900000.0
64,3,1.0,1070.0,98117,575000.0
65,2,1.0,1113.0,98102,595000.0
66,4,2.0,2100.0,98117,950000.0
67,3,2.5,2620.0,98119,1300000.0
68,3,2.0,1270.0,98103,727000.0
69,3,2.0,2702.0,98103,1605000.0
70,4,3.5,2031.0,98117,1480000.0
71,3,2.0,2350.0,98178,888000.0
72,4,1.5,2640.0,98115,1850000.0
